Local authority code ,Local authority name,Median_House_Price,Total_Weekly_Pay,Council/Local Authority Rented Property,Unemployed: Not worked in the last 12 months,Not in employment: Never worked,No qualifications
E09000002,Barking and Dagenham,"340,000.00",523.50,"18,077.00","28,678.00",28236.0,36796.0
E09000003,Barnet,"575,500.00",574.90,"10,030.00","63,342.00",41107.0,47762.0
E09000004,Bexley,"390,750.00",584.80,"2,491.00","47,214.00",20228.0,35582.0
E09000005,Brent,"525,000.00",553.10,"10,444.00","48,297.00",47370.0,59770.0
E09000006,Bromley,"492,500.00",653.00,"2,090.00","67,099.00",23070.0,36581.0
E09000007,Camden,"765,000.00",694.20,"21,051.00","34,511.00",27328.0,20948.0
E09000001,City of London,"770,000.00",#,449.00,"1,412.00",733.0,529.0
E09000008,Croydon,"410,000.00",613.30,"14,769.00","64,606.00",38272.0,49877.0
E09000009,Ealing,"522,000.00",574.90,"11,326.00","54,181.00",46928.0,52925.0
E09000010,Enfield,"460,000.00",507.90,"12,530.00","54,454.00",43133.0,57813.0
E09000011,Greenwich,"445,000.00",618.90,"21,257.00","42,785.00",29664.0,38319.0
E09000012,Hackney,"590,000.00",575.10,"21,943.00","30,710.00",31596.0,35043.0
E09000013,Hammersmith and Fulham,"780,000.00",714.50,"11,840.00","27,259.00",18650.0,18332.0
E09000014,Haringey,"550,000.00",542.60,"15,630.00","36,838.00",30349.0,39921.0
E09000015,Harrow,"535,000.00",577.50,"4,977.00","42,238.00",30623.0,36454.0
E09000016,Havering,"405,000.00",584.60,"9,423.00","52,153.00",22008.0,41947.0
E09000017,Hillingdon,"458,000.00",586.00,"10,179.00","49,255.00",34418.0,43906.0
E09000018,Hounslow,"460,000.00",564.60,"13,251.00","42,007.00",32974.0,42630.0
E09000019,Islington,"648,750.00",665.60,"24,081.00","32,049.00",24162.0,25257.0
E09000020,Kensington and Chelsea,"1,250,000.00",767.00,"7,154.00","27,076.00",18619.0,13971.0
E09000021,Kingston upon Thames,"525,000.00",667.80,"4,647.00","29,152.00",13764.0,16128.0
E09000022,Lambeth,"557,500.00",673.60,"24,126.00","40,140.00",29047.0,35185.0
E09000023,Lewisham,"460,000.00",574.90,"16,045.00","42,205.00",28635.0,35447.0
E09000024,Merton,"545,000.00",586.30,"2,342.00","32,938.00",18123.0,24609.0
E09000025,Newham,"430,000.00",567.40,"17,989.00","38,773.00",54952.0,57151.0
E09000026,Redbridge,"490,000.00",581.90,"6,604.00","45,720.00",40547.0,41948.0
E09000027,Richmond upon Thames,"715,000.00",699.50,"1,829.00","36,926.00",12608.0,14163.0
E09000028,Southwark,"550,000.00",631.90,"35,433.00","39,864.00",31262.0,35516.0
E09000029,Sutton,"430,000.00",565.80,"5,399.00","36,539.00",16487.0,25122.0
E09000030,Tower Hamlets,"570,830.00",680.30,"16,697.00","33,691.00",46215.0,40999.0
E09000031,Waltham Forest,"500,000.00",624.70,"10,737.00","38,003.00",30614.0,40535.0
E09000032,Wandsworth,"656,177.50",746.70,"16,653.00","42,978.00",24998.0,27202.0
E09000033,Westminster,"900,000.00",771.60,"12,418.00","33,356.00",30007.0,22882.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
