Borough,Old,New
Barking and Dagenham,14806,15865
Barnet,21656,21953
Bexley,9529,11561
Brent,25403,22529
Bromley,17577,17794
Camden,31282,23209
Croydon,26247,26007
Ealing,26425,23196
Enfield,18796,23678
Greenwich,17748,20851
Hackney,23415,25643
Hammersmith and Fulham,19666,16698
Haringey,20960,23918
Harrow,11095,12673
Havering,14229,13559
Hillingdon,19266,18667
Hounslow,19238,18808
Islington,22926,20333
Kensington and Chelsea,17827,15271
Kingston upon Thames,9034,9302
Lambeth,30630,25523
Lewisham,21986,21068
Merton,11568,10155
Newham,26052,27777
Redbridge,20425,19752
Richmond upon Thames,9472,8828
Southwark,28891,26245
Sutton,9498,10234
Tower Hamlets,24106,26808
Waltham Forest,21051,18253
Wandsworth,19251,20589
Westminster,58836,42899
