Borough,Level_4_Qualification ,Total_Crime_2021
Barking and Dagenham,53791.00,15865.00
Barnet,151642.00,21953.00
Bexley,61837.00,11561.00
Brent,109998.00,22529.00
Bromley,113508.00,17794.00
Camden,101932.00,23209.00
Croydon,127342.00,26007.00
Ealing,130981.00,23196.00
Enfield,93371.00,23678.00
Greenwich,104926.00,20851.00
Hackney,109724.00,25643.00
Hammersmith and Fulham,89043.00,16698.00
Haringey,104270.00,23918.00
Harrow,94317.00,12673.00
Havering,61921.00,13559.00
Hillingdon,90664.00,18667.00
Hounslow,95076.00,18808.00
Islington,103975.00,20333.00
Kensington and Chelsea,73226.00,15271.00
Kingston upon Thames,69582.00,9302.00
Lambeth,151312.00,25523.00
Lewisham,120814.00,21068.00
Merton,86412.00,10155.00
Newham,111130.00,27777.00
Redbridge,102696.00,19752.00
Richmond upon Thames,94089.00,8828.00
Southwark,140514.00,26245.00
Sutton,65889.00,10234.00
Tower Hamlets,127299.00,26808.00
Waltham Forest,95910.00,18253.00
Wandsworth,171346.00,20589.00
Westminster,102356.00,42899.00
