boroughs,No_qualifications                                           ,Level_3_Qualification,Level_4_Qualification
Barking and Dagenham,36796,21819,53791
Barnet,47762,38541,151642
Bexley,35582,32511,61837
Brent,59770,34338,109998
Bromley,36581,39420,113508
Camden,20948,25154,101932
City of London,529,708,5939
Croydon,49877,45535,127342
Ealing,52925,37920,130981
Enfield,57813,34476,93371
Greenwich,38319,30154,104926
Hackney,35043,24171,109724
Hammersmith and Fulham,18332,20165,89043
Haringey,39921,25260,104270
Harrow,36454,26422,94317
Havering,41947,34125,61921
Hillingdon,43906,35836,90664
Hounslow,42630,28046,95076
Islington,25257,22337,103975
Kensington and Chelsea,13971,15439,73226
Kingston upon Thames,16128,19766,69582
Lambeth,35185,31935,151312
Lewisham,35447,31537,120814
Merton,24609,21786,86412
Newham,57151,35783,111130
Redbridge,41948,33074,102696
Richmond upon Thames,14163,18830,94089
Southwark,35516,31574,140514
Sutton,25122,25866,65889
Tower Hamlets,40999,33343,127299
Waltham Forest,40535,28770,95910
Wandsworth,27202,31214,171346
Westminster,22882,22019,102356
