London_Borough,Qualification_Code,Qualification_Type,Total
City of London,0,No qualifications,529
Barking and Dagenham,0,No qualifications,36796
Barnet,0,No qualifications,47762
Bexley,0,No qualifications,35582
Brent,0,No qualifications,59770
Bromley,0,No qualifications,36581
Camden,0,No qualifications,20948
Croydon,0,No qualifications,49877
Ealing,0,No qualifications,52925
Enfield,0,No qualifications,57813
Greenwich,0,No qualifications,38319
Hackney,0,No qualifications,35043
Hammersmith and Fulham,0,No qualifications,18332
Haringey,0,No qualifications,39921
Harrow,0,No qualifications,36454
Havering,0,No qualifications,41947
Hillingdon,0,No qualifications,43906
Hounslow,0,No qualifications,42630
Islington,0,No qualifications,25257
Kensington and Chelsea,0,No qualifications,13971
Kingston upon Thames,0,No qualifications,16128
Lambeth,0,No qualifications,35185
Lewisham,0,No qualifications,35447
Merton,0,No qualifications,24609
Newham,0,No qualifications,57151
Redbridge,0,No qualifications,41948
Richmond upon Thames,0,No qualifications,14163
Southwark,0,No qualifications,35516
Sutton,0,No qualifications,25122
Tower Hamlets,0,No qualifications,40999
Waltham Forest,0,No qualifications,40535
Wandsworth,0,No qualifications,27202
Westminster,0,No qualifications,22882
City of London,1,Level 1 and entry level qualifications,223
Barking and Dagenham,1,Level 1 and entry level qualifications,16752
Barnet,1,Level 1 and entry level qualifications,21302
Bexley,1,Level 1 and entry level qualifications,21413
Brent,1,Level 1 and entry level qualifications,24296
Bromley,1,Level 1 and entry level qualifications,23030
Camden,1,Level 1 and entry level qualifications,8996
Croydon,1,Level 1 and entry level qualifications,28370
Ealing,1,Level 1 and entry level qualifications,23821
Enfield,1,Level 1 and entry level qualifications,24151
Greenwich,1,Level 1 and entry level qualifications,18349
Hackney,1,Level 1 and entry level qualifications,12782
Hammersmith and Fulham,1,Level 1 and entry level qualifications,7892
Haringey,1,Level 1 and entry level qualifications,14732
Harrow,1,Level 1 and entry level qualifications,17150
Havering,1,Level 1 and entry level qualifications,23453
Hillingdon,1,Level 1 and entry level qualifications,23872
Hounslow,1,Level 1 and entry level qualifications,21674
Islington,1,Level 1 and entry level qualifications,10273
Kensington and Chelsea,1,Level 1 and entry level qualifications,5446
Kingston upon Thames,1,Level 1 and entry level qualifications,8744
Lambeth,1,Level 1 and entry level qualifications,16252
Lewisham,1,Level 1 and entry level qualifications,17738
Merton,1,Level 1 and entry level qualifications,12368
Newham,1,Level 1 and entry level qualifications,24931
Redbridge,1,Level 1 and entry level qualifications,20878
Richmond upon Thames,1,Level 1 and entry level qualifications,7779
Southwark,1,Level 1 and entry level qualifications,15851
Sutton,1,Level 1 and entry level qualifications,15348
Tower Hamlets,1,Level 1 and entry level qualifications,17155
Waltham Forest,1,Level 1 and entry level qualifications,18874
Wandsworth,1,Level 1 and entry level qualifications,12759
Westminster,1,Level 1 and entry level qualifications,8615
City of London,2,Level 2 qualifications,392
Barking and Dagenham,2,Level 2 qualifications,20367
Barnet,2,Level 2 qualifications,30687
Bexley,2,Level 2 qualifications,28535
Brent,2,Level 2 qualifications,26148
