Borough,Ethnicity,Total_Residents
Barking and Dagenham,All usual residents,218866
Barnet,All usual residents,389401
Bexley,All usual residents,246520
Brent,All usual residents,339889
Bromley,All usual residents,329936
Camden,All usual residents,210165
City of London,All usual residents,8584
Croydon,All usual residents,390697
Ealing,All usual residents,367183
Enfield,All usual residents,329914
Greenwich,All usual residents,289085
Hackney,All usual residents,259124
Hammersmith and Fulham,All usual residents,183179
Haringey,All usual residents,264420
Harrow,All usual residents,261249
Havering,All usual residents,262055
Hillingdon,All usual residents,305942
Hounslow,All usual residents,288159
Islington,All usual residents,216550
Kensington and Chelsea,All usual residents,143321
Kingston upon Thames,All usual residents,167981
Lambeth,All usual residents,317713
Lewisham,All usual residents,300453
Merton,All usual residents,215220
Newham,All usual residents,350985
Redbridge,All usual residents,310353
Richmond upon Thames,All usual residents,195301
Southwark,All usual residents,307659
Sutton,All usual residents,209662
Tower Hamlets,All usual residents,310184
Waltham Forest,All usual residents,278460
Wandsworth,All usual residents,327409
Westminster,All usual residents,204249
Barking and Dagenham,White British,67558
Barnet,White British,140792
Bexley,White British,158871
Brent,White British,51629
Bromley,White British,219488
Camden,White British,74343
City of London,White British,3652
Croydon,White British,146256
Ealing,White British,89263
Enfield,White British,103123
Greenwich,White British,119678
Hackney,White British,87919
Hammersmith and Fulham,White British,70095
Haringey,White British,84309
Harrow,White British,53565
Havering,White British,174252
Hillingdon,White British,113355
Hounslow,White British,81945
Islington,White British,86101
Kensington and Chelsea,White British,46875
Kingston upon Thames,White British,90262
Lambeth,White British,119410
Lewisham,White British,111717
Merton,White British,88662
Newham,White British,51799
Redbridge,White British,71874
Richmond upon Thames,White British,123085
Southwark,White British,109247
Sutton,White British,120043
Tower Hamlets,White British,71175
Waltham Forest,White British,94769
Wandsworth,White British,157030
Westminster,White British,57201
Barking and Dagenham,White Irish,1191
Barnet,White Irish,7629
Bexley,White Irish,2523
Brent,White Irish,9302
Bromley,White Irish,4962
Camden,White Irish,5330
City of London,White Irish,186
Croydon,White Irish,4914
Ealing,White Irish,8526
Enfield,White Irish,5968
Greenwich,White Irish,4250
Hackney,White Irish,5579
Hammersmith and Fulham,White Irish,4809
Haringey,White Irish,5711
Harrow,White Irish,5595
Havering,White Irish,2903
Hillingdon,White Irish,5592
Hounslow,White Irish,3886
Islington,White Irish,7077
Kensington and Chelsea,White Irish,2811
Kingston upon Thames,White Irish,2636
Lambeth,White Irish,6825
Lewisham,White Irish,5038
Merton,White Irish,4332
Newham,White Irish,2046
Redbridge,White Irish,3102
Richmond upon Thames,White Irish,4866
Southwark,White Irish,6029
Sutton,White Irish,3117
Tower Hamlets,White Irish,3551
Waltham Forest,White Irish,4236
Wandsworth,White Irish,8053
Westminster,White Irish,3720
Barking and Dagenham,White Gypsy/Irish Traveller,189
Barnet,White Gypsy/Irish Traveller,178
Bexley,White Gypsy/Irish Traveller,619
Brent,White Gypsy/Irish Traveller,236
Bromley,White Gypsy/Irish Traveller,575
Camden,White Gypsy/Irish Traveller,134
City of London,White Gypsy/Irish Traveller,0
Croydon,White Gypsy/Irish Traveller,213
Ealing,White Gypsy/Irish Traveller,251
Enfield,White Gypsy/Irish Traveller,372
Greenwich,White Gypsy/Irish Traveller,386
Hackney,White Gypsy/Irish Traveller,245
Hammersmith and Fulham,White Gypsy/Irish Traveller,95
Haringey,White Gypsy/Irish Traveller,228
Harrow,White Gypsy/Irish Traveller,175
Havering,White Gypsy/Irish Traveller,256
Hillingdon,White Gypsy/Irish Traveller,480
Hounslow,White Gypsy/Irish Traveller,299
Islington,White Gypsy/Irish Traveller,107
Kensington and Chelsea,White Gypsy/Irish Traveller,82
Kingston upon Thames,White Gypsy/Irish Traveller,63
Lambeth,White Gypsy/Irish Traveller,142
Lewisham,White Gypsy/Irish Traveller,114
Merton,White Gypsy/Irish Traveller,188
Newham,White Gypsy/Irish Traveller,354
Redbridge,White Gypsy/Irish Traveller,185
Richmond upon Thames,White Gypsy/Irish Traveller,86
Southwark,White Gypsy/Irish Traveller,153
Sutton,White Gypsy/Irish Traveller,129
Tower Hamlets,White Gypsy/Irish Traveller,113
Waltham Forest,White Gypsy/Irish Traveller,198
Wandsworth,White Gypsy/Irish Traveller,121
Westminster,White Gypsy/Irish Traveller,48
Barking and Dagenham,White Roma,854
Barnet,White Roma,1557
Bexley,White Roma,312
Brent,White Roma,2508
Bromley,White Roma,553
Camden,White Roma,988
City of London,White Roma,62
Croydon,White Roma,1114
Ealing,White Roma,1433
Enfield,White Roma,1121
Greenwich,White Roma,894
Hackney,White Roma,864
Hammersmith and Fulham,White Roma,1480
Haringey,White Roma,2016
Harrow,White Roma,1418
Havering,White Roma,432
Hillingdon,White Roma,692
Hounslow,White Roma,980
Islington,White Roma,963
Kensington and Chelsea,White Roma,1042
Kingston upon Thames,White Roma,436
Lambeth,White Roma,1563
Lewisham,White Roma,1035
Merton,White Roma,826
Newham,White Roma,2344
Redbridge,White Roma,1087
Richmond upon Thames,White Roma,401
Southwark,White Roma,1592
Sutton,White Roma,334
Tower Hamlets,White Roma,2218
Waltham Forest,White Roma,1403
Wandsworth,White Roma,1720
Westminster,White Roma,1519
Barking and Dagenham,White Other,28514
Barnet,White Other,74620
Bexley,White Other,14863
Brent,White Other,54017
Bromley,White Other,26704
Camden,White Other,44295
City of London,White Other,2065
Croydon,White Other,36436
Ealing,White Other,59008
Enfield,White Other,61268
Greenwich,White Other,35847
Hackney,White Other,43107
Hammersmith and Fulham,White Other,39164
Haringey,White Other,58358
Harrow,White Other,34455
Havering,White Other,19521
Hillingdon,White Other,27230
Hounslow,White Other,39965
Islington,White Other,40507
Kensington and Chelsea,White Other,40574
Kingston upon Thames,White Other,21395
Lambeth,White Other,46881
Lewisham,White Other,36808
Merton,White Other,35602
Newham,White Other,51404
Redbridge,White Other,31764
Richmond upon Thames,White Other,28644
Southwark,White Other,41208
Sutton,White Other,19569
Tower Hamlets,White Other,45193
Waltham Forest,White Other,46449
Wandsworth,White Other,55122
Westminster,White Other,50264
Barking and Dagenham,Mixed White and Asian,1549
Barnet,Mixed White and Asian,6055
Bexley,Mixed White and Asian,2178
Brent,Mixed White and Asian,3627
Bromley,Mixed White and Asian,4729
Camden,Mixed White and Asian,4251
City of London,Mixed White and Asian,173
Croydon,Mixed White and Asian,5742
Ealing,Mixed White and Asian,5478
Enfield,Mixed White and Asian,3820
Greenwich,Mixed White and Asian,3458
Hackney,Mixed White and Asian,3692
Hammersmith and Fulham,Mixed White and Asian,3123
Haringey,Mixed White and Asian,3946
Harrow,Mixed White and Asian,3151
Havering,Mixed White and Asian,2342
Hillingdon,Mixed White and Asian,4204
Hounslow,Mixed White and Asian,4112
Islington,Mixed White and Asian,3748
Kensington and Chelsea,Mixed White and Asian,3052
Kingston upon Thames,Mixed White and Asian,3550
Lambeth,Mixed White and Asian,4525
Lewisham,Mixed White and Asian,4340
Merton,Mixed White and Asian,3754
Newham,Mixed White and Asian,3324
Redbridge,Mixed White and Asian,3565
Richmond upon Thames,Mixed White and Asian,4233
Southwark,Mixed White and Asian,4647
Sutton,Mixed White and Asian,3069
Tower Hamlets,Mixed White and Asian,4361
Waltham Forest,Mixed White and Asian,3900
Wandsworth,Mixed White and Asian,5790
Westminster,Mixed White and Asian,3732
Barking and Dagenham,Mixed White and Black African,2376
Barnet,Mixed White and Black African,3766
Bexley,Mixed White and Black African,1734
Brent,Mixed White and Black African,3186
Bromley,Mixed White and Black African,2436
Camden,Mixed White and Black African,2071
City of London,Mixed White and Black African,50
Croydon,Mixed White and Black African,4463
Ealing,Mixed White and Black African,2435
Enfield,Mixed White and Black African,2999
Greenwich,Mixed White and Black African,3287
Hackney,Mixed White and Black African,2732
Hammersmith and Fulham,Mixed White and Black African,1788
Haringey,Mixed White and Black African,2551
Harrow,Mixed White and Black African,1080
Havering,Mixed White and Black African,1526
Hillingdon,Mixed White and Black African,1900
Hounslow,Mixed White and Black African,2153
Islington,Mixed White and Black African,2256
Kensington and Chelsea,Mixed White and Black African,1284
Kingston upon Thames,Mixed White and Black African,1096
Lambeth,Mixed White and Black African,4028
Lewisham,Mixed White and Black African,3775
Merton,Mixed White and Black African,1716
Newham,Mixed White and Black African,3326
Redbridge,Mixed White and Black African,1714
Richmond upon Thames,Mixed White and Black African,1196
Southwark,Mixed White and Black African,3587
Sutton,Mixed White and Black African,1282
Tower Hamlets,Mixed White and Black African,2218
Waltham Forest,Mixed White and Black African,2782
Wandsworth,Mixed White and Black African,2510
Westminster,Mixed White and Black African,2103
Barking and Dagenham,Mixed White and Black Caribbean,2984
Barnet,Mixed White and Black Caribbean,3495
Bexley,Mixed White and Black Caribbean,2493
Brent,Mixed White and Black Caribbean,3787
Bromley,Mixed White and Black Caribbean,5506
Camden,Mixed White and Black Caribbean,2562
City of London,Mixed White and Black Caribbean,56
Croydon,Mixed White and Black Caribbean,10352
Ealing,Mixed White and Black Caribbean,4595
Enfield,Mixed White and Black Caribbean,5160
Greenwich,Mixed White and Black Caribbean,5137
Hackney,Mixed White and Black Caribbean,4756
Hammersmith and Fulham,Mixed White and Black Caribbean,3156
Haringey,Mixed White and Black Caribbean,5345
Harrow,Mixed White and Black Caribbean,2176
Havering,Mixed White and Black Caribbean,3208
Hillingdon,Mixed White and Black Caribbean,3144
