GSSCode,fullName,avgWeeklyPay,veryGoodHealth,veryBadHealth,peoplesmoking,unemp_never_worked,noQualifications,population,livebirths
E09000002,Barking and Dagenham,523.5,43.3,1.7,18.3,28236,36796,221495,"3,255"
E09000003,Barnet,574.9,51.5,1.2,11.3,41107,47762,411275,"4,780"
E09000004,Bexley,584.8,48.7,1.1,10.5,20228,35582,256845,"2,837"
E09000005,Brent,553.1,47.2,1.4,12.8,47370,59770,346437,"4,427"
E09000006,Bromley,653,52.4,0.9,8.2,23070,36581,339466,"3,728"
E09000007,Camden,694.2,51.3,1.6,8.9,27328,20948,259344,"2,317"
E09000001,City of London,1138,56.6,0.7,6.6,733,529,8164,0
E09000008,Croydon,613.3,47.9,1.2,12.9,38272,49877,403461,"5,001"
E09000009,Ealing,574.9,48.2,1.3,10.3,46928,52925,369685,"4,397"
E09000010,Enfield,507.9,46.9,1.4,18.5,43133,57813,346635,"3,936"
E09000011,Greenwich,618.9,47.3,1.5,11.5,29664,38319,294837,"3,906"
E09000012,Hackney,575.1,48.5,2.2,14.2,31596,35043,292023,"3,971"
E09000013,Hammersmith and Fulham,714.5,53.8,1.5,10.8,18650,18332,195981,"2,146"
E09000014,Haringey,542.6,48.5,1.7,9.5,30349,39921,291330,"3,376"
E09000015,Harrow,577.5,48.6,1.1,7.6,30623,36454,263484,"3,312"
E09000016,Havering,584.6,48.2,1.1,10.3,22008,41947,265930,"3,057"
E09000017,Hillingdon,586,47.4,1.1,11.1,34418,43906,319467,"4,061"
E09000018,Hounslow,564.6,47.3,1.3,11.6,32974,42630,286947,"3,678"
E09000019,Islington,665.6,48.6,2.1,11.5,24162,25257,244372,"2,657"
E09000020,Kensington and Chelsea,767,58,1.2,14.4,18619,13971,161552,"1,455"
E09000021,Kingston upon Thames,667.8,51.3,0.9,10.5,13764,16128,184660,"1,849"
E09000022,Lambeth,673.6,49.9,1.5,12.4,29047,35185,342250,"3,554"
E09000023,Lewisham,574.9,47.7,1.4,12.2,28635,35447,320574,"4,024"
E09000024,Merton,586.3,51,1,12.8,18123,24609,214740,"2,739"
E09000025,Newham,567.4,42.9,2,13.9,54952,57151,366943,"5,346"
E09000026,Redbridge,581.9,46.4,1.3,11.8,40547,41948,316288,"4,275"
E09000027,Richmond upon Thames,699.5,57.6,0.8,8.2,12608,14163,203312,"2,120"
E09000028,Southwark,631.9,49.4,1.6,12,31262,35516,332679,"3,525"
E09000029,Sutton,565.8,48.9,1,12.1,16487,25122,213340,"2,347"
E09000030,Tower Hamlets,680.3,42.5,2.5,12,46215,40999,331620,"4,381"
E09000031,Waltham Forest,624.7,45.9,1.5,9,30614,40535,292788,"4,136"
E09000032,Wandsworth,746.7,54.4,1.1,13.3,24998,27202,337783,"4,198"
E09000033,Westminster,771.6,52.8,1.8,11.8,30007,22882,262317,"2,110"
