borough,data,value
Barking and Dagenham,medianPrice,340000
Barnet,medianPrice,575500
Bexley,medianPrice,390750
Brent,medianPrice,525000
Bromley,medianPrice,492500
Camden,medianPrice,765000
City of London,medianPrice,770000
Croydon,medianPrice,410000
Ealing,medianPrice,522000
Enfield,medianPrice,460000
Greenwich,medianPrice,445000
Hackney,medianPrice,590000
Hammersmith and Fulham,medianPrice,780000
Haringey,medianPrice,550000
Harrow,medianPrice,535000
Havering,medianPrice,405000
Hillingdon,medianPrice,458000
Hounslow,medianPrice,460000
Islington,medianPrice,648750
Kensington and Chelsea,medianPrice,1250000
Kingston upon Thames,medianPrice,525000
Lambeth,medianPrice,557500
Lewisham,medianPrice,460000
Merton,medianPrice,545000
Newham,medianPrice,430000
Redbridge,medianPrice,490000
Richmond upon Thames,medianPrice,715000
Southwark,medianPrice,550000
Sutton,medianPrice,430000
Tower Hamlets,medianPrice,570830
Waltham Forest,medianPrice,500000
Wandsworth,medianPrice,656178
Westminster,medianPrice,900000
Barking and Dagenham,weeklyPay,524
Barnet,weeklyPay,575
Bexley,weeklyPay,585
Brent,weeklyPay,553
Bromley,weeklyPay,653
Camden,weeklyPay,694
City of London,weeklyPay,1318
Croydon,weeklyPay,613
Ealing,weeklyPay,575
Enfield,weeklyPay,508
Greenwich,weeklyPay,619
Hackney,weeklyPay,575
Hammersmith and Fulham,weeklyPay,715
Haringey,weeklyPay,543
Harrow,weeklyPay,578
Havering,weeklyPay,585
Hillingdon,weeklyPay,586
Hounslow,weeklyPay,565
Islington,weeklyPay,666
Kensington and Chelsea,weeklyPay,767
Kingston upon Thames,weeklyPay,668
Lambeth,weeklyPay,674
Lewisham,weeklyPay,575
Merton,weeklyPay,586
Newham,weeklyPay,567
Redbridge,weeklyPay,582
Richmond upon Thames,weeklyPay,700
Southwark,weeklyPay,632
Sutton,weeklyPay,566
Tower Hamlets,weeklyPay,680
Waltham Forest,weeklyPay,625
Wandsworth,weeklyPay,747
Westminster,weeklyPay,772
Barking and Dagenham,councilProperty,18077
Barnet,councilProperty,10030
Bexley,councilProperty,2491
Brent,councilProperty,10444
Bromley,councilProperty,2090
Camden,councilProperty,21051
City of London,councilProperty,449
Croydon,councilProperty,14769
Ealing,councilProperty,11326
Enfield,councilProperty,12530
Greenwich,councilProperty,21257
Hackney,councilProperty,21943
Hammersmith and Fulham,councilProperty,11840
Haringey,councilProperty,15630
Harrow,councilProperty,4977
Havering,councilProperty,9423
Hillingdon,councilProperty,10179
Hounslow,councilProperty,13251
Islington,councilProperty,24081
Kensington and Chelsea,councilProperty,7154
Kingston upon Thames,councilProperty,4647
Lambeth,councilProperty,24126
Lewisham,councilProperty,16045
Merton,councilProperty,2342
Newham,councilProperty,17989
Redbridge,councilProperty,6604
Richmond upon Thames,councilProperty,1829
Southwark,councilProperty,35433
Sutton,councilProperty,5399
Tower Hamlets,councilProperty,16697
Waltham Forest,councilProperty,10737
Wandsworth,councilProperty,16653
Westminster,councilProperty,12418
Barking and Dagenham,unemployed_12months,28678
Barnet,unemployed_12months,63342
Bexley,unemployed_12months,47214
Brent,unemployed_12months,48297
Bromley,unemployed_12months,67099
Camden,unemployed_12months,34511
City of London,unemployed_12months,1412
Croydon,unemployed_12months,64606
Ealing,unemployed_12months,54181
Enfield,unemployed_12months,54454
Greenwich,unemployed_12months,42785
Hackney,unemployed_12months,30710
Hammersmith and Fulham,unemployed_12months,27259
Haringey,unemployed_12months,36838
Harrow,unemployed_12months,42238
Havering,unemployed_12months,52153
Hillingdon,unemployed_12months,49255
Hounslow,unemployed_12months,42007
Islington,unemployed_12months,32049
Kensington and Chelsea,unemployed_12months,27076
Kingston upon Thames,unemployed_12months,29152
Lambeth,unemployed_12months,40140
Lewisham,unemployed_12months,42205
Merton,unemployed_12months,32938
Newham,unemployed_12months,38773
Redbridge,unemployed_12months,45720
Richmond upon Thames,unemployed_12months,36926
Southwark,unemployed_12months,39864
Sutton,unemployed_12months,36539
Tower Hamlets,unemployed_12months,33691
Waltham Forest,unemployed_12months,38003
Wandsworth,unemployed_12months,42978
Westminster,unemployed_12months,33356
Barking and Dagenham,unemployed_Never_worked,28236
Barnet,unemployed_Never_worked,41107
Bexley,unemployed_Never_worked,20228
Brent,unemployed_Never_worked,47370
Bromley,unemployed_Never_worked,23070
Camden,unemployed_Never_worked,27328
City of London,unemployed_Never_worked,733
Croydon,unemployed_Never_worked,38272
Ealing,unemployed_Never_worked,46928
Enfield,unemployed_Never_worked,43133
Greenwich,unemployed_Never_worked,29664
Hackney,unemployed_Never_worked,31596
Hammersmith and Fulham,unemployed_Never_worked,18650
Haringey,unemployed_Never_worked,30349
Harrow,unemployed_Never_worked,30623
Havering,unemployed_Never_worked,22008
Hillingdon,unemployed_Never_worked,34418
Hounslow,unemployed_Never_worked,32974
Islington,unemployed_Never_worked,24162
Kensington and Chelsea,unemployed_Never_worked,18619
Kingston upon Thames,unemployed_Never_worked,13764
Lambeth,unemployed_Never_worked,29047
Lewisham,unemployed_Never_worked,28635
Merton,unemployed_Never_worked,18123
Newham,unemployed_Never_worked,54952
Redbridge,unemployed_Never_worked,40547
Richmond upon Thames,unemployed_Never_worked,12608
Southwark,unemployed_Never_worked,31262
Sutton,unemployed_Never_worked,16487
Tower Hamlets,unemployed_Never_worked,46215
Waltham Forest,unemployed_Never_worked,30614
Wandsworth,unemployed_Never_worked,24998
Westminster,unemployed_Never_worked,30007
Barking and Dagenham,No_qualifications,36796
Barnet,No_qualifications,47762
Bexley,No_qualifications,35582
Brent,No_qualifications,59770
Bromley,No_qualifications,36581
Camden,No_qualifications,20948
City of London,No_qualifications,529
